0.000000e+00  5.000000e-01  1.000000e-01
1.000000e-06  5.000000e-01  9.999996e-02
6.000000e-06  4.999999e-01  9.999975e-02
3.100000e-05  4.999996e-01  9.999870e-02
1.560000e-04  4.999978e-01  9.999346e-02
7.810000e-04  4.999888e-01  9.996725e-02
3.906000e-03  4.999438e-01  9.983615e-02
1.953100e-02  4.997205e-01  9.917926e-02
9.765600e-02  4.986333e-01  9.586018e-02
1.976560e-01  4.973137e-01  9.152888e-02
2.976560e-01  4.960745e-01  8.710657e-02
3.976560e-01  4.949147e-01  8.259535e-02
4.976560e-01  4.938332e-01  7.799730e-02
5.976560e-01  4.928285e-01  7.331457e-02
6.976560e-01  4.918992e-01  6.854953e-02
7.976560e-01  4.910436e-01  6.370486e-02
8.976560e-01  4.902602e-01  5.878376e-02
9.976560e-01  4.895477e-01  5.378996e-02
1.097656e+00  4.889046e-01  4.872786e-02
1.197656e+00  4.883299e-01  4.360259e-02
1.297656e+00  4.878224e-01  3.841997e-02
1.397656e+00  4.873812e-01  3.318651e-02
1.497656e+00  4.870054e-01  2.790934e-02
1.597656e+00  4.866942e-01  2.259610e-02
1.697656e+00  4.864466e-01  1.725483e-02
1.797656e+00  4.862620e-01  1.189381e-02
1.897656e+00  4.861394e-01  6.521402e-03
1.997656e+00  4.860779e-01  1.145970e-03
2.097656e+00  4.860764e-01  -4.224298e-03
2.197656e+00  4.861340e-01  -9.581456e-03
2.297656e+00  4.862497e-01  -1.491787e-02
2.397656e+00  4.864223e-01  -2.022626e-02
2.497656e+00  4.866508e-01  -2.549965e-02
2.597656e+00  4.869341e-01  -3.073142e-02
2.697656e+00  4.872710e-01  -3.591514e-02
2.797656e+00  4.876604e-01  -4.104461e-02
2.897656e+00  4.881011e-01  -4.611372e-02
2.997656e+00  4.885918e-01  -5.111642e-02
3.097656e+00  4.891311e-01  -5.604666e-02
3.197656e+00  4.897175e-01  -6.089839e-02
3.297656e+00  4.903496e-01  -6.566557e-02
3.397656e+00  4.910256e-01  -7.034217e-02
3.497656e+00  4.917440e-01  -7.492230e-02
3.597656e+00  4.925033e-01  -7.940029e-02
3.697656e+00  4.933020e-01  -8.377076e-02
3.797656e+00  4.941391e-01  -8.802880e-02
3.897656e+00  4.950137e-01  -9.217003e-02
3.997656e+00  4.959256e-01  -9.619069e-02
4.097656e+00  4.968750e-01  -1.000877e-01
4.197656e+00  4.978630e-01  -1.038589e-01
4.297656e+00  4.988912e-01  -1.075025e-01
4.397656e+00  4.999620e-01  -1.110176e-01
4.497656e+00  5.010786e-01  -1.144041e-01
4.597656e+00  5.022446e-01  -1.176622e-01
4.697656e+00  5.034642e-01  -1.207925e-01
4.797656e+00  5.047419e-01  -1.237959e-01
4.897656e+00  5.060824e-01  -1.266737e-01
4.997656e+00  5.074904e-01  -1.294271e-01
5.097656e+00  5.089701e-01  -1.320573e-01
5.197656e+00  5.105258e-01  -1.345655e-01
5.297656e+00  5.121608e-01  -1.369528e-01
5.397656e+00  5.138783e-01  -1.392200e-01
5.497656e+00  5.156806e-01  -1.413680e-01
5.597656e+00  5.175696e-01  -1.433971e-01
5.697656e+00  5.195465e-01  -1.453079e-01
5.797656e+00  5.216125e-01  -1.471005e-01
5.897656e+00  5.237684e-01  -1.487750e-01
5.997656e+00  5.260153e-01  -1.503313e-01
6.097656e+00  5.283545e-01  -1.517691e-01
6.197656e+00  5.307881e-01  -1.530879e-01
6.297656e+00  5.333189e-01  -1.542870e-01
6.397656e+00  5.359507e-01  -1.553656e-01
6.497656e+00  5.386887e-01  -1.563226e-01
6.597656e+00  5.415392e-01  -1.571566e-01
6.697656e+00  5.445097e-01  -1.578660e-01
6.797656e+00  5.476092e-01  -1.584491e-01
6.897656e+00  5.508473e-01  -1.589038e-01
6.997656e+00  5.542344e-01  -1.592279e-01
7.097656e+00  5.577813e-01  -1.594191e-01
7.197656e+00  5.614989e-01  -1.594746e-01
7.297656e+00  5.653971e-01  -1.593919e-01
7.397656e+00  5.694851e-01  -1.591679e-01
7.497656e+00  5.737703e-01  -1.587993e-01
7.597656e+00  5.782582e-01  -1.582821e-01
7.697656e+00  5.829516e-01  -1.576119e-01
7.797656e+00  5.878506e-01  -1.567829e-01
7.897656e+00  5.929524e-01  -1.557881e-01
7.997656e+00  5.982513e-01  -1.546186e-01
8.097656e+00  6.037398e-01  -1.532637e-01
8.197656e+00  6.094088e-01  -1.517104e-01
8.297656e+00  6.152491e-01  -1.499442e-01
8.397656e+00  6.212523e-01  -1.479497e-01
8.497656e+00  6.274121e-01  -1.457116e-01
8.597656e+00  6.337241e-01  -1.432163e-01
8.697656e+00  6.401860e-01  -1.404531e-01
8.797656e+00  6.467962e-01  -1.374161e-01
8.897656e+00  6.535519e-01  -1.341039e-01
8.997656e+00  6.604472e-01  -1.305210e-01
9.097656e+00  6.674709e-01  -1.266766e-01
9.197656e+00  6.746041e-01  -1.225846e-01
9.297656e+00  6.818193e-01  -1.182623e-01
9.397656e+00  6.890790e-01  -1.137294e-01
9.497656e+00  6.963353e-01  -1.090067e-01
9.597656e+00  7.035308e-01  -1.041138e-01
9.697656e+00  7.106000e-01  -9.906760e-02
9.797656e+00  7.174718e-01  -9.387938e-02
9.897656e+00  7.240739e-01  -8.855279e-02
9.997656e+00  7.303378e-01  -8.308262e-02
1.009766e+01  7.362036e-01  -7.745549e-02
1.019766e+01  7.416240e-01  -7.165277e-02
1.029766e+01  7.465656e-01  -6.565463e-02
1.039766e+01  7.510076e-01  -5.944424e-02
1.049766e+01  7.549389e-01  -5.301060e-02
